"Inklammern_RewritePlus::Add New", "Rewrite anlegen"
"Inklammern_RewritePlus::New Page", "Neuer Rewrite"
"Inklammern_RewritePlus::Edit Page (ID: %d)", "Rewrite bearbeiten (ID: %d)"
"Inklammern_RewritePlus::Save", "Speichern"
"Inklammern_RewritePlus::Save and Continue Edit", "Speichern und weiter bearbeiten"
"Inklammern_RewritePlus::Page successfully saved.", "Rewrite wurde erfolgreich gespeichert."
"Inklammern_RewritePlus::Page(s) successfully deleted.", "Rewrite(s) wurde(n) erfolgreich gelöscht."
"Inklammern_RewritePlus::Enabled", "Aktiviert"
"Inklammern_RewritePlus::Disabled", "Deaktiviert"
"Inklammern_RewritePlus::ID", "ID"
"Inklammern_RewritePlus::Title", "Titel"
"Inklammern_RewritePlus::Description Top", "Beschreibung oben"
"Inklammern_RewritePlus::Description Bottom", "Beschreibung unten"
"Inklammern_RewritePlus::Meta Title", "Meta Titel"
"Inklammern_RewritePlus::Meta Description", "Meta Beschreibung"
"Inklammern_RewritePlus::Meta Keywords", "Meta Keywords"
"Inklammern_RewritePlus::Meta Robots", "Meta Robots"
"Inklammern_RewritePlus::Meta Canonical", "Meta Canonical"
